Time (min),Irradiance (W/m^2)
655.754,443.751
656.746,461.7748
657.738,457.9141
658.730,453.3548
659.722,448.9054
660.714,442.7503
661.706,468.2562
662.698,467.705
663.690,465.7528
664.683,462.407
665.675,460.4602
666.667,458.1891
667.659,458.3301
668.651,461.9533
669.643,464.1509
670.635,463.1585
671.627,465.7887
672.619,465.9144
673.611,467.2941
674.603,471.3008
675.595,471.6819
676.587,474.2664
677.579,464.3439
678.571,477.8698
679.563,480.8277
680.556,485.3138
681.548,487.9599
682.540,489.4076
683.532,494.3139
684.524,495.2073
685.516,491.4812
686.508,491.6907
687.500,488.8972
688.492,490.0765
689.484,489.3274
690.476,494.5668
691.468,498.1997
692.460,494.3475
693.452,496.5232
694.444,490.9406
695.437,485.7585
696.429,479.423
697.421,473.9529
698.413,489.7377
699.405,486.9967
700.397,485.209
701.389,480.4634
702.381,470.9146
703.373,472.7633
704.365,472.0848
705.357,471.9364
706.349,468.1653
707.341,465.1261
708.333,463.1034
709.325,468.0493
710.317,464.0139
711.310,462.5789
712.302,473.9077
713.294,474.238
714.286,472.6193
715.278,444.7572
716.270,357.6102
717.262,330.5498
718.254,324.9678
719.246,385.7427
720.238,366.028
721.230,437.2186
722.222,463.8066
723.214,448.0877
725.198,472.4327
726.190,482.0312
727.183,466.734
731.151,476.5828
732.143,478.1983
733.135,489.9906
734.127,498.2284
735.119,511.0203
736.111,502.7658
737.103,499.4907
738.095,504.4068
739.087,511.2992
740.079,511.9828
741.071,515.743
742.063,512.8305
743.056,492.5034
744.048,472.7885
745.040,497.3924
746.032,513.9994
747.024,507.5768
748.016,505.6565
749.008,465.2144
750.000,448.3255
750.992,377.563
751.984,396.6736
757.937,482.6841
758.929,508.1737
759.921,517.7729
760.913,515.1187
761.905,505.7225
762.897,480.0801
763.889,486.0752
764.881,487.4167
765.873,498.5289
766.865,497.8645
767.857,503.4978
768.849,504.0509
769.841,501.0672
770.833,498.8853
771.825,497.8936
772.817,503.4778
773.810,513.1774
774.802,499.9435
775.794,495.081
776.786,506.3819
777.778,504.8972
778.770,499.1056
779.762,488.5705
780.754,493.4554
781.746,500.1736
782.738,500.5506
783.730,497.1676
784.722,496.8364
785.714,488.9779
786.706,493.0517
787.698,494.8535
788.690,488.6635
789.683,485.0035
790.675,484.0705
791.667,483.5298
792.659,491.2264
793.651,499.5892
794.643,502.3307
795.635,500.058
796.627,501.0647
797.619,499.2487
798.611,496.6731
799.603,505.7879
800.595,501.4972
801.587,502.7133
802.579,497.4538
803.571,498.5231
804.563,500.7303
805.556,497.1791
806.548,495.7667
807.540,495.7355
808.532,495.6
809.524,493.8409
810.516,491.4045
811.508,486.4068
812.500,481.6315
813.492,476.9567
814.484,477.2945
815.476,478.9019
816.468,477.5738
817.460,470.1709
821.429,460.9331
822.421,469.9289
823.413,469.3657
824.405,466.7333
825.397,466.061
826.389,468.0251
827.381,466.4847
828.373,466.2461
829.365,462.088
830.357,460.856
831.349,459.5828
832.341,459.3802
833.333,461.5768
834.325,448.4014
835.317,460.1333
836.310,465.2253
844.246,454.2059
845.238,450.0841
846.230,438.4755
847.222,442.8575
848.214,452.909
849.206,452.8844
850.198,444.9205
851.190,446.1964
854.167,441.5992
855.159,425.3323
860.119,400.9722
861.111,414.8326
862.103,425.2281
863.095,407.0818
864.087,418.0507
865.079,431.276
866.071,440.141
867.063,440.0151
868.056,435.1418
869.048,427.6181
870.040,423.433
871.032,437.247
872.024,434.987
873.016,439.8088
874.008,435.8731
875.000,431.6759
875.992,434.4415
876.984,432.0831
877.976,428.0687
878.968,427.4753
879.960,420.9597
880.952,420.1538
881.944,416.4736
882.937,408.5089
883.929,402.8158
884.921,410.2705
885.913,416.9218
886.905,421.679
887.897,424.1923
888.889,431.6228
889.881,436.9501
890.873,437.6711
891.865,438.2242
892.857,442.9045
893.849,447.5894
894.841,445.809
895.833,446.9666
896.825,445.0227
897.817,437.7771
898.810,435.0136
899.802,437.1136
900.794,435.9581
901.786,433.3011
902.778,433.8379
903.770,434.6703
904.762,435.3088
905.754,432.0461
906.746,430.6253
907.738,426.1947
908.730,424.8319
909.722,417.7348
910.714,416.6632
911.706,413.6949
912.698,413.4523
913.690,415.4759
914.683,419.4968
915.675,419.6455
916.667,418.3052
917.659,418.8498
918.651,417.3993
919.643,415.7383
920.635,413.7033
921.627,407.7362
922.619,413.2081
923.611,416.7599
924.603,415.8865
925.595,411.0537
926.587,409.6912
927.579,409.3038
928.571,410.6344
929.563,411.6424
930.556,408.4812
931.548,407.0777
932.540,407.1298
933.532,407.9225
934.524,407.3277
935.516,406.2795
936.508,403.299
937.500,400.2585
938.492,395.8271
939.484,392.6136
940.476,391.7782
941.468,388.0028
942.460,382.3467
943.452,378.4895
944.444,376.5056
945.437,377.9713
946.429,375.5311
947.421,378.1678
948.413,383.0944
949.405,380.4125
950.397,381.9223
951.389,386.5498
952.381,385.1401
953.373,385.5918
954.365,382.6531
955.357,380.783
956.349,382.2278
957.341,383.6075
958.333,383.1288
959.325,380.2099
960.317,376.0329
961.310,375.1823
962.302,372.2372
963.294,374.6239
964.286,378.1442
965.278,383.0802
966.270,382.7705
967.262,379.9167
968.254,378.9175
969.246,379.6306
970.238,380.9629
971.230,380.8118
972.222,375.5169
973.214,368.8396
974.206,366.1845
975.198,362.7678
976.190,358.2052
977.183,351.2154
978.175,344.2977
979.167,336.1175
980.159,329.7094
981.151,322.0665
982.143,324.8401
983.135,320.9343
984.127,317.4893
985.119,318.8366
